Humidity,Temperature,UnixTime,Hour,Minute,Humidity_Future,Temperature_Future,UnixTime_Future,Hour_Future,Minute_Future
65.0,34.6,1592669320.0,16.0,8.0,91.0,27.9,1592690924.0,22.0,8.0
65.0,34.6,1592669330.0,16.0,8.0,91.0,27.9,1592690935.0,22.0,8.0
65.0,34.6,1592669341.0,16.0,9.0,91.0,27.8,1592690945.0,22.0,9.0
65.0,34.6,1592669351.0,16.0,9.0,91.0,27.8,1592690955.0,22.0,9.0
65.0,34.6,1592669361.0,16.0,9.0,91.0,27.8,1592690966.0,22.0,9.0
65.0,34.6,1592669372.0,16.0,9.0,91.0,27.9,1592690976.0,22.0,9.0
65.0,34.6,1592669382.0,16.0,9.0,91.0,27.8,1592690986.0,22.0,9.0
65.0,34.6,1592669392.0,16.0,9.0,91.0,27.8,1592690997.0,22.0,9.0
65.0,34.6,1592669403.0,16.0,10.0,91.0,27.8,1592691007.0,22.0,10.0
65.0,34.6,1592669413.0,16.0,10.0,91.0,27.8,1592691017.0,22.0,10.0
65.0,34.6,1592669424.0,16.0,10.0,91.0,27.8,1592691028.0,22.0,10.0
65.0,34.6,1592669434.0,16.0,10.0,91.0,28.2,1592691038.0,22.0,10.0
65.0,34.6,1592669444.0,16.0,10.0,91.0,28.2,1592691049.0,22.0,10.0
65.0,34.6,1592669455.0,16.0,10.0,91.0,28.2,1592691059.0,22.0,10.0
65.0,34.6,1592669465.0,16.0,11.0,91.0,28.2,1592691069.0,22.0,11.0
65.0,34.6,1592669476.0,16.0,11.0,91.0,28.2,1592691080.0,22.0,11.0
65.0,34.6,1592669486.0,16.0,11.0,91.0,28.2,1592691090.0,22.0,11.0
65.0,34.2,1592669497.0,16.0,11.0,91.0,28.5,1592691101.0,22.0,11.0
65.0,34.2,1592669507.0,16.0,11.0,91.0,28.4,1592691111.0,22.0,11.0
65.0,34.2,1592669517.0,16.0,11.0,91.0,28.2,1592691121.0,22.0,12.0
65.0,34.2,1592669528.0,16.0,12.0,90.0,28.2,1592691132.0,22.0,12.0
65.0,34.2,1592669538.0,16.0,12.0,90.0,28.2,1592691142.0,22.0,12.0
65.0,34.2,1592669548.0,16.0,12.0,90.0,28.2,1592691152.0,22.0,12.0
65.0,34.2,1592669559.0,16.0,12.0,89.0,27.9,1592691163.0,22.0,12.0
65.0,34.2,1592669569.0,16.0,12.0,89.0,27.8,1592691173.0,22.0,12.0
65.0,34.2,1592669580.0,16.0,13.0,90.0,27.9,1592691183.0,22.0,13.0
65.0,34.2,1592669590.0,16.0,13.0,90.0,27.9,1592691194.0,22.0,13.0
65.0,34.2,1592669600.0,16.0,13.0,90.0,28.0,1592691204.0,22.0,13.0
65.0,34.2,1592669611.0,16.0,13.0,90.0,28.0,1592691214.0,22.0,13.0
65.0,34.2,1592669621.0,16.0,13.0,90.0,27.9,1592691225.0,22.0,13.0
65.0,34.6,1592669631.0,16.0,13.0,90.0,28.0,1592691235.0,22.0,13.0
65.0,34.2,1592669642.0,16.0,14.0,90.0,27.9,1592691245.0,22.0,14.0
65.0,34.2,1592669652.0,16.0,14.0,90.0,27.8,1592691256.0,22.0,14.0
65.0,34.2,1592669663.0,16.0,14.0,90.0,27.8,1592691266.0,22.0,14.0
65.0,34.2,1592669673.0,16.0,14.0,90.0,27.8,1592691276.0,22.0,14.0
65.0,34.2,1592669683.0,16.0,14.0,90.0,27.8,1592691287.0,22.0,14.0
65.0,34.2,1592669694.0,16.0,14.0,90.0,27.8,1592691297.0,22.0,14.0
65.0,34.2,1592669704.0,16.0,15.0,90.0,27.8,1592691308.0,22.0,15.0
66.0,34.2,1592669714.0,16.0,15.0,90.0,27.8,1592691318.0,22.0,15.0
65.0,34.2,1592669725.0,16.0,15.0,90.0,27.8,1592691328.0,22.0,15.0
65.0,34.2,1592669735.0,16.0,15.0,90.0,28.2,1592691339.0,22.0,15.0
65.0,34.4,1592669746.0,16.0,15.0,90.0,28.2,1592691349.0,22.0,15.0
65.0,34.5,1592669756.0,16.0,15.0,89.0,28.2,1592691359.0,22.0,15.0
66.0,34.4,1592669766.0,16.0,16.0,89.0,28.0,1592691370.0,22.0,16.0
66.0,34.3,1592669777.0,16.0,16.0,89.0,27.8,1592691380.0,22.0,16.0
66.0,34.2,1592669787.0,16.0,16.0,89.0,27.8,1592691390.0,22.0,16.0
66.0,34.2,1592669797.0,16.0,16.0,89.0,27.8,1592691401.0,22.0,16.0
66.0,34.2,1592669808.0,16.0,16.0,89.0,27.8,1592691411.0,22.0,16.0
66.0,34.2,1592669818.0,16.0,16.0,89.0,27.8,1592691421.0,22.0,17.0
66.0,34.2,1592669829.0,16.0,17.0,89.0,27.8,1592691432.0,22.0,17.0
66.0,34.2,1592669840.0,16.0,17.0,89.0,27.8,1592691442.0,22.0,17.0
66.0,34.2,1592669851.0,16.0,17.0,89.0,27.8,1592691452.0,22.0,17.0
66.0,34.2,1592669861.0,16.0,17.0,89.0,27.8,1592691463.0,22.0,17.0
66.0,34.2,1592669872.0,16.0,17.0,89.0,27.8,1592691473.0,22.0,17.0
66.0,34.6,1592669882.0,16.0,18.0,89.0,27.8,1592691483.0,22.0,18.0
66.0,34.6,1592669893.0,16.0,18.0,89.0,27.8,1592691494.0,22.0,18.0
66.0,34.6,1592669903.0,16.0,18.0,89.0,27.8,1592691504.0,22.0,18.0
66.0,34.6,1592669913.0,16.0,18.0,89.0,27.8,1592691514.0,22.0,18.0
66.0,34.6,1592669924.0,16.0,18.0,89.0,27.8,1592691525.0,22.0,18.0
66.0,34.6,1592669934.0,16.0,18.0,89.0,28.0,1592691535.0,22.0,18.0
