Humidity,Temperature,Hour,Minute,Humidity_Future,Temperature_Future,Hour_Future,Minute_Future
65.0,34.6,16.0,6.0,91.0,28.2,22.0,6.0
65.0,34.6,16.0,6.0,91.0,28.2,22.0,6.0
65.0,34.6,16.0,6.0,91.0,28.2,22.0,6.0
65.0,34.6,16.0,7.0,91.0,28.2,22.0,7.0
65.0,34.6,16.0,7.0,91.0,28.2,22.0,7.0
65.0,34.6,16.0,7.0,91.0,28.2,22.0,7.0
65.0,34.6,16.0,7.0,91.0,28.2,22.0,7.0
65.0,34.6,16.0,7.0,91.0,28.2,22.0,7.0
65.0,34.6,16.0,7.0,91.0,28.2,22.0,8.0
65.0,34.6,16.0,8.0,91.0,27.9,22.0,8.0
65.0,34.6,16.0,8.0,91.0,27.8,22.0,8.0
65.0,34.6,16.0,8.0,91.0,27.8,22.0,8.0
65.0,34.6,16.0,8.0,91.0,27.9,22.0,8.0
65.0,34.6,16.0,8.0,91.0,27.9,22.0,8.0
65.0,34.6,16.0,9.0,91.0,27.8,22.0,9.0
65.0,34.6,16.0,9.0,91.0,27.8,22.0,9.0
65.0,34.6,16.0,9.0,91.0,27.8,22.0,9.0
65.0,34.6,16.0,9.0,91.0,27.9,22.0,9.0
65.0,34.6,16.0,9.0,91.0,27.8,22.0,9.0
65.0,34.6,16.0,9.0,91.0,27.8,22.0,9.0
65.0,34.6,16.0,10.0,91.0,27.8,22.0,10.0
65.0,34.6,16.0,10.0,91.0,27.8,22.0,10.0
65.0,34.6,16.0,10.0,91.0,27.8,22.0,10.0
65.0,34.6,16.0,10.0,91.0,28.2,22.0,10.0
65.0,34.6,16.0,10.0,91.0,28.2,22.0,10.0
65.0,34.6,16.0,10.0,91.0,28.2,22.0,10.0
65.0,34.6,16.0,11.0,91.0,28.2,22.0,11.0
65.0,34.6,16.0,11.0,91.0,28.2,22.0,11.0
65.0,34.6,16.0,11.0,91.0,28.2,22.0,11.0
65.0,34.2,16.0,11.0,91.0,28.5,22.0,11.0
65.0,34.2,16.0,11.0,91.0,28.4,22.0,11.0
65.0,34.2,16.0,11.0,91.0,28.2,22.0,12.0
65.0,34.2,16.0,12.0,90.0,28.2,22.0,12.0
65.0,34.2,16.0,12.0,90.0,28.2,22.0,12.0
65.0,34.2,16.0,12.0,90.0,28.2,22.0,12.0
65.0,34.2,16.0,12.0,89.0,27.9,22.0,12.0
65.0,34.2,16.0,12.0,89.0,27.8,22.0,12.0
65.0,34.2,16.0,13.0,90.0,27.9,22.0,13.0
65.0,34.2,16.0,13.0,90.0,27.9,22.0,13.0
65.0,34.2,16.0,13.0,90.0,28.0,22.0,13.0
65.0,34.2,16.0,13.0,90.0,28.0,22.0,13.0
65.0,34.2,16.0,13.0,90.0,27.9,22.0,13.0
65.0,34.6,16.0,13.0,90.0,28.0,22.0,13.0
65.0,34.2,16.0,14.0,90.0,27.9,22.0,14.0
65.0,34.2,16.0,14.0,90.0,27.8,22.0,14.0
65.0,34.2,16.0,14.0,90.0,27.8,22.0,14.0
65.0,34.2,16.0,14.0,90.0,27.8,22.0,14.0
65.0,34.2,16.0,14.0,90.0,27.8,22.0,14.0
65.0,34.2,16.0,14.0,90.0,27.8,22.0,14.0
65.0,34.2,16.0,15.0,90.0,27.8,22.0,15.0
66.0,34.2,16.0,15.0,90.0,27.8,22.0,15.0
65.0,34.2,16.0,15.0,90.0,27.8,22.0,15.0
65.0,34.2,16.0,15.0,90.0,28.2,22.0,15.0
65.0,34.4,16.0,15.0,90.0,28.2,22.0,15.0
65.0,34.5,16.0,15.0,89.0,28.2,22.0,15.0
66.0,34.4,16.0,16.0,89.0,28.0,22.0,16.0
66.0,34.3,16.0,16.0,89.0,27.8,22.0,16.0
66.0,34.2,16.0,16.0,89.0,27.8,22.0,16.0
66.0,34.2,16.0,16.0,89.0,27.8,22.0,16.0
66.0,34.2,16.0,16.0,89.0,27.8,22.0,16.0
66.0,34.2,16.0,16.0,89.0,27.8,22.0,17.0
66.0,34.2,16.0,17.0,89.0,27.8,22.0,17.0
66.0,34.2,16.0,17.0,89.0,27.8,22.0,17.0
66.0,34.2,16.0,17.0,89.0,27.8,22.0,17.0
66.0,34.2,16.0,17.0,89.0,27.8,22.0,17.0
66.0,34.2,16.0,17.0,89.0,27.8,22.0,17.0
66.0,34.6,16.0,18.0,89.0,27.8,22.0,18.0
66.0,34.6,16.0,18.0,89.0,27.8,22.0,18.0
66.0,34.6,16.0,18.0,89.0,27.8,22.0,18.0
66.0,34.6,16.0,18.0,89.0,27.8,22.0,18.0
66.0,34.6,16.0,18.0,89.0,27.8,22.0,18.0
66.0,34.6,16.0,18.0,89.0,28.0,22.0,18.0
66.0,34.6,16.0,19.0,89.0,27.9,22.0,19.0
65.0,34.6,16.0,19.0,89.0,27.8,22.0,19.0
65.0,34.6,16.0,19.0,89.0,27.9,22.0,19.0
65.0,34.6,16.0,19.0,89.0,28.1,22.0,19.0
65.0,34.6,16.0,19.0,89.0,28.1,22.0,19.0
65.0,34.6,16.0,19.0,89.0,28.0,22.0,19.0
66.0,34.6,16.0,20.0,89.0,27.9,22.0,20.0
66.0,34.6,16.0,20.0,89.0,27.8,22.0,20.0
66.0,34.6,16.0,20.0,89.0,27.8,22.0,20.0
65.0,34.6,16.0,20.0,89.0,27.8,22.0,20.0
65.0,34.6,16.0,20.0,89.0,27.8,22.0,20.0
65.0,34.6,16.0,20.0,89.0,28.0,22.0,21.0
65.0,34.6,16.0,21.0,89.0,28.2,22.0,21.0
65.0,34.6,16.0,21.0,89.0,28.2,22.0,21.0
65.0,34.6,16.0,21.0,89.0,28.2,22.0,21.0
65.0,34.6,16.0,21.0,89.0,28.2,22.0,21.0
65.0,34.6,16.0,21.0,89.0,28.5,22.0,21.0
66.0,34.6,16.0,22.0,89.0,28.5,22.0,22.0
66.0,34.6,16.0,22.0,89.0,28.4,22.0,22.0
66.0,34.6,16.0,22.0,89.0,28.2,22.0,22.0
66.0,34.6,16.0,22.0,89.0,28.2,22.0,22.0
66.0,34.4,16.0,22.0,89.0,28.2,22.0,22.0
66.0,34.3,16.0,22.0,89.0,28.5,22.0,22.0
66.0,34.2,16.0,23.0,88.0,28.5,22.0,23.0
66.0,34.3,16.0,23.0,88.0,28.5,22.0,23.0
66.0,34.6,16.0,23.0,88.0,28.5,22.0,23.0
66.0,34.3,16.0,23.0,88.0,28.3,22.0,23.0
66.0,34.2,16.0,23.0,88.0,28.2,22.0,23.0
66.0,34.2,16.0,23.0,89.0,28.2,22.0,23.0
66.0,34.2,16.0,24.0,89.0,28.2,22.0,24.0
66.0,34.3,16.0,24.0,89.0,28.2,22.0,24.0
66.0,34.6,16.0,24.0,89.0,28.5,22.0,24.0
66.0,34.6,16.0,24.0,89.0,28.5,22.0,24.0
66.0,34.6,16.0,24.0,89.0,28.5,22.0,24.0
66.0,34.6,16.0,24.0,89.0,28.5,22.0,24.0
66.0,34.6,16.0,25.0,89.0,28.4,22.0,25.0
66.0,34.6,16.0,25.0,89.0,28.2,22.0,25.0
66.0,34.6,16.0,25.0,89.0,28.2,22.0,25.0
66.0,34.6,16.0,25.0,89.0,28.3,22.0,25.0
66.0,34.6,16.0,25.0,89.0,28.3,22.0,25.0
66.0,34.6,16.0,26.0,88.0,28.5,22.0,26.0
66.0,34.6,16.0,26.0,88.0,28.3,22.0,26.0
