,Humidity,Temperature,UnixTime
-MAFzOu6zdk3hBuo_SR2,65.00,34.60,1592669382
-MAFzRQh1o6a5F1LmZm5,65.00,34.60,1592669392
-MAFzTxHzqBtIxSWv1d8,65.00,34.60,1592669403
-MAFzWT5435V9AhPO3AG,65.00,34.60,1592669413
-MAFzZ-UBnDPKw2OHUy0,65.00,34.60,1592669424
-MAFzaXCGxVre7Wyuggu,65.00,34.60,1592669434
-MAFzd2gBGRqh74v72eR,65.00,34.60,1592669444
-MAFzfayiyc4PkiYn-UG,65.00,34.60,1592669455
-MAFziGcsrRwUqWcjLVV,65.00,34.60,1592669465
-MAFzknlWIDHY9J4R8CS,65.00,34.60,1592669476
-MAFznKF7lAQIiSRB8gc,65.00,34.60,1592669486
-MAFzpqxVCdHQdlgT791,65.00,34.20,1592669497
-MAFzsN_o6H0i9rU0ofq,65.00,34.20,1592669507
-MAFzuu9pVYinYQcBHk0,65.00,34.20,1592669517
-MAFzxQrGLCtVfC4uF0y,65.00,34.20,1592669528
-MAFzzwq5UfwjYEc23Jp,65.00,34.20,1592669538
-MAG-1TyA-kfbHcTiArx,65.00,34.20,1592669548
-MAG-41qVJiuk9KFMdjb,65.00,34.20,1592669559
-MAG-6_Ngi1vYDZpB86C,65.00,34.20,1592669569
-MAG-95vooxFWx2NH6So,65.00,34.20,1592669580
-MAG-Bd3zt_kWIdHioty,65.00,34.20,1592669590
-MAG-E94kaYf_4-8nnuP,65.00,34.20,1592669600
-MAG-GfjrVZHz-IFvPGc,65.00,34.20,1592669611
-MAG-JCJ6nvqh0Y9bVu-,65.00,34.20,1592669621
-MAG-LiugCc2Pb8piLWq,65.00,34.60,1592669631
-MAG-OFsF7k6d2VBvEVB,65.00,34.20,1592669642
-MAG-QoCqR4vEHVBX5Gx,65.00,34.20,1592669652
-MAG-TK2nicfwgS-17Wc,65.00,34.20,1592669663
-MAG-Vr2cjtM_KldSbX5,65.00,34.20,1592669673
-MAG-YOKhiD3IyMEkA2g,65.00,34.20,1592669683
-MAG-_vzNum7z2Ka8uJs,65.00,34.20,1592669694
-MAG-cSDBRqbi5kkzDy_,65.00,34.20,1592669704
-MAG-f-OmjEjK-phoZ9i,66.00,34.20,1592669714
-MAG-hXDu8krckBwMfGJ,65.00,34.20,1592669725
-MAG-k2nrj-LDP9j4eSb,65.00,34.20,1592669735
-MAG-mazr9dsWn72VNTc,65.00,34.40,1592669746
-MAG-p6wkJ6VGp17vUh8,65.00,34.50,1592669756
-MAG-rfI2YTWbhQ1wYj7,66.00,34.40,1592669766
-MAG-uCbjFunF5NI5x2j,66.00,34.30,1592669777
-MAG-wiohqqvoqJGG05h,66.00,34.20,1592669787
-MAG-zFSNWyj9znlgOlj,66.00,34.20,1592669797
-MAG00lzN2G8PBO1Jjyf,66.00,34.20,1592669808
-MAG03KH4PIj2hywimdg,66.00,34.20,1592669818
-MAG06DPRz5GE5z6018K,66.00,34.20,1592669829
-MAG08kYPYlN2Ew0gons,66.00,34.20,1592669840
-MAG0BJQGoeZxWgu6ixf,66.00,34.20,1592669851
-MAG0DsN9Yl92E5hbm_x,66.00,34.20,1592669861
-MAG0GP9ZTOoyrqRWh8I,66.00,34.20,1592669872
-MAG0IvmyG7-aEzqEvpr,66.00,34.60,1592669882
-MAG0LSOcx7zyxeOprv4,66.00,34.60,1592669893
-MAG0Nz7KK-ScWCCsmF2,66.00,34.60,1592669903
-MAG0QYpwAW6iIWZ8ZTr,66.00,34.60,1592669913
-MAG0T4NNeiQ7y2NsDq0,66.00,34.60,1592669924
-MAG0ValcUvQmldIaZCD,66.00,34.60,1592669934
-MAG0Y7OxFuwcuOx4h8u,66.00,34.60,1592669944
-MAG0_e-MbHwKQc9hjkm,65.00,34.60,1592669955
-MAG0cAaE87dG_L0z5Wo,65.00,34.60,1592669965
-MAG0eh7Mcd-KzYI1d6E,65.00,34.60,1592669976
-MAG0hDm6rdnd7bRgJQO,65.00,34.60,1592669986
-MAG0jkOd7zHd5TbtTco,65.00,34.60,1592669996
-MAG0mHm3jKnuaWy2kUH,66.00,34.60,1592670007
-MAG0opBC3VuHZ54CY-A,66.00,34.60,1592670017
-MAG0rNbCxFJMuAokXnB,66.00,34.60,1592670027
-MAG0ttuXxG2dKkDWmZQ,65.00,34.60,1592670038
-MAG0wQs6hoNHGZKiQn5,65.00,34.60,1592670048
-MAG0yxREWtgPpUR7Rlb,65.00,34.60,1592670059
-MAG10UrPNWd6JAtYnvQ,65.00,34.60,1592670069
-MAG131Bd6fe1oMfTSTN,65.00,34.60,1592670079
-MAG15_Tg-fb0F2BtMiT,65.00,34.60,1592670090
-MAG1869sAKPxHZFnabJ,65.00,34.60,1592670100
-MAG1Acxcrqr3noJ2uVw,65.00,34.60,1592670110
-MAG1DAz66AT9IPF374Q,66.00,34.60,1592670121
-MAG1FhgQ2E_0vMcugNh,66.00,34.60,1592670131
-MAG1IDzN_Yt1nuyKe-f,66.00,34.60,1592670142
-MAG1KjuXRLCBSEWv8qV,66.00,34.60,1592670152
-MAG1NHscDhBiIfOqPUT,66.00,34.40,1592670162
-MAG1PscmLnVpohX-GEp,66.00,34.30,1592670173
-MAG1SP8g8TMQlcwh4ar,66.00,34.20,1592670183
-MAG1UwGYYttOMzAMv72,66.00,34.30,1592670194
-MAG1XSFP6SwgaMHQgNr,66.00,34.60,1592670204
-MAG1_-Nquj7YNcdNCfR,66.00,34.30,1592670214
-MAG1b_kIlJymN5w7wAe,66.00,34.20,1592670225
-MAG1e7ZRN8KVYQ00YZJ,66.00,34.20,1592670235
-MAG1gfcO2GG1BclLdFM,66.00,34.20,1592670246
-MAG1jCHedhpiZ7UB-Er,66.00,34.30,1592670256
-MAG1lioX8yr20JCI79g,66.00,34.60,1592670267
-MAG1oFav5SfBezaXoOq,66.00,34.60,1592670277
-MAG1qmQ97wwJWt0tZs6,66.00,34.60,1592670287
-MAG1tI_vFnueZD5AoJj,66.00,34.60,1592670298
-MAG1vpEiaKIcB8id-KQ,66.00,34.60,1592670308
-MAG1yLqHhfppJ9hASO7,66.00,34.60,1592670318
-MAG2-uU7dAnRB0q_OR2,66.00,34.60,1592670329
-MAG22Qh1lpOpElf1fRs,66.00,34.60,1592670339
-MAG24xCmCJD3oy9KjWT,66.00,34.60,1592670349
-MAG27Tszh1WY6hmJAFu,66.00,34.60,1592670360
-MAG2AMT6uXayXA5jqv8,66.00,34.60,1592670370
-MAG2Cu4DZCCoPnjVGM8,66.00,34.60,1592670382
-MAG2FQ2FHb2ClQzWE-L,66.00,34.60,1592670392
-MAG2HyrH5FF1Rc3kOl3,66.00,34.60,1592670403
-MAG2KV_aTJHBrtbPL-_,66.00,34.60,1592670413
-MAG2N2qQ3HmOeA1SPDE,66.00,34.50,1592670424
-MAG2P_6y3U841Ny5-5T,66.00,34.60,1592670434
-MAG2S5nkABXLHwe3-tK,66.00,34.40,1592670444
-MAG2UcL_Ho9bzoeiHC7,66.00,34.40,1592670455
-MAG2XAUvzMt64AFVis4,66.00,34.40,1592670465
-MAG2Zh7_LgLPimod9ZY,66.00,34.60,1592670475
-MAG2bFvyjynM6IlVwOr,66.00,34.60,1592670486
-MAG2dmBVSC8JpxP3oth,66.00,34.60,1592670496
-MAG2gKASTw4-TY_S7P0,66.00,34.20,1592670507
-MAG2isXABA5OEf8WQrN,66.00,34.20,1592670517
-MAG2lSMhMHE4WtZyE_1,66.00,34.20,1592670528
-MAG2nzZrJVQH5OesT-x,66.00,34.20,1592670538
-MAG2qXPOzYW1vLvVh5q,66.00,34.20,1592670549
-MAG2t2iZvCqXHs2W-YQ,66.00,34.50,1592670559
-MAG2v_Ju9aivGVX6Mw_,66.00,34.00,1592670569
-MAG2y5VMDF67MQwd_-4,66.00,34.00,1592670580
-MAG3-dyVYtaEGd4NhHq,66.00,34.00,1592670590
-MAG32Ac0UEOdimD949q,66.00,33.70,1592670600
-MAG34it9_Qowe4lj_PB,66.00,33.60,1592670611
-MAG37FbmHfG0MlQIe1_,66.00,33.90,1592670621
-MAG39m0CCvVLX9_Eidj,66.00,33.60,1592670632
-MAG3CIZ3bnSG5lNraNO,66.00,33.50,1592670642
-MAG3EpjvG-VDhlFLhpn,66.00,33.50,1592670652
-MAG3HLkKswvI3_bDnr4,66.00,33.50,1592670663
-MAG3JsK3V8biwD7vCjK,66.00,33.50,1592670673
-MAG3MrEmo7OoaGipcJJ,66.00,33.50,1592670684
-MAG3PNag1IKC_Kr2g25,66.00,33.50,1592670695
-MAG3Ru4JDlBrhCVEsyZ,66.00,33.50,1592670706
-MAG3US5yFpiW_EgQrVJ,66.00,33.50,1592670716
-MAG3WyhbJQoUshPdbSb,66.00,33.50,1592670727
-MAG3ZVLrfcyQJzzO2cH,66.00,33.50,1592670737
-MAG3b3Bmwf5jI8TSQTM,66.00,33.50,1592670747
-MAG3daldEQ8z0UDtQ1h,66.00,33.50,1592670758
-MAG3gDwhEok2bc_Wvwv,66.00,33.50,1592670768
-MAG3ikSUdQ4jzaIxHRy,66.00,33.50,1592670779
-MAG3lGvibBdgtiquuoi,66.00,33.50,1592670789
-MAG3nnY23ZmKF4D0Rfs,66.00,33.70,1592670800
-MAG3qK7SHgx0fsy2m4c,66.00,33.50,1592670810
-MAG3sqhnmU2_lzm6fno,66.00,33.60,1592670820
-MAG3vOAqGTFpkcxi80r,66.00,33.50,1592670831
-MAG3xvXZ1eYlLGMA2-K,66.00,33.50,1592670841
-MAG4-S5SIbuSooZujDs,66.00,33.80,1592670851
-MAG41yg5XlXsMvhV9AP,66.00,33.90,1592670862
-MAG44qIjI4Z3JzoAn8I,66.00,33.90,1592670872
-MAG47NEelUOQl6Aa-rY,66.00,33.90,1592670884
-MAG49t1GxdlOIT3hijP,66.00,33.90,1592670894
-MAG4CQMOUpx72G9UodX,66.00,33.90,1592670905
